name,url
chronlife,https://github.com/maciejb2k/chronlife
autolab,https://github.com/autolab/Autolab
 
airCasting,https://github.com/HabitatMap/AirCasting
alaveteli,https://github.com/mysociety/alaveteli
alonetone,https://github.com/sudara/alonetone
bike_index,https://github.com/bikeindex/bike_index
chatwoot,https://github.com/chatwoot/chatwoot
coursemology2,https://github.com/Coursemology/coursemology2
diaspora,https://github.com/diaspora/diaspora
discourse,https://github.com/discourse/discourse
docuseal,https://github.com/docusealco/docuseal
expertiza,https://github.com/expertiza/expertiza
fat-free-crm,https://github.com/fatfreecrm/fat_free_crm
forem,https://github.com/forem/forem
fromthepage,https://github.com/benwbrum/fromthepage
gitlabhq,https://github.com/gitlabhq/gitlabhq
growstuff,https://github.com/Growstuff/growstuff
hitobito,https://github.com/hitobito/hitobito
human-essentials,https://github.com/rubyforgood/human-essentials
inaturalist,https://github.com/inaturalist/inaturalist
loomio,https://github.com/loomio/loomio
mastodon,https://github.com/mastodon/mastodon
openFarm,https://github.com/openfarmcc/OpenFarm
openproject,https://github.com/opf/openproject
otwarchive,https://github.com/otwcode/otwarchive
planningalerts-app,https://github.com/openaustralia/planningalerts
podiscover,https://github.com/enderahmetyurt/podiscover
postal,https://github.com/postalserver/postal
publify,https://github.com/publify/publify
retrospring,https://github.com/retrospring/retrospring
scholarsphere,https://github.com/psu-libraries/scholarsphere
selfstarter,https://github.com/apigy/selfstarter
sharetribe,https://github.com/sharetribe/sharetribe
somleng,https://github.com/somleng/somleng
splits-io,https://github.com/glacials/splits-io
theodinproject,https://github.com/TheOdinProject/theodinproject
tracks,https://github.com/TracksApp/tracks
vglist,https://github.com/connorshea/vglist,coverage: 93%
