name,url
FAE,https://github.com/wearefine/fae/
activeWorkflow,https://github.com/automaticmode/active_workflow
airCasting,https://github.com/HabitatMap/AirCasting
alaveteli,https://github.com/mysociety/alaveteli
alonetone,https://github.com/sudara/alonetone
api.rss,https://github.com/davidesantangelo/api.rss
asakusaSatellite,https://github.com/codefirst/AsakusaSatellite
askaway,https://github.com/askaway/askaway
autolab,https://github.com/autolab/Autolab
bike_index,https://github.com/bikeindex/bike_index
catarse,https://github.com/catarse/catarse
chatwoot,https://github.com/chatwoot/chatwoot
chronlife,https://github.com/maciejb2k/chronlife
contribulator,https://github.com/24pullrequests/contribulator
coursemology2,https://github.com/Coursemology/coursemology2
covoiturage-libre,https://github.com/covoiturage-libre/covoiturage-libre
crowdAI,https://github.com/crowdAI/crowdai
crowdtiltOpen,https://github.com/Crowdtilt/CrowdtiltOpen
cw-ovp,https://github.com/x1wins/CW-OVP
dgidb,https://github.com/dgidb/dgidb
diaspora,https://github.com/diaspora/diaspora
discourse,https://github.com/discourse/discourse
docuseal,https://github.com/docusealco/docuseal
encrypt.to,https://github.com/encrypt-to/encrypt.to
eol,https://github.com/EOL/deprecated_eol
expertiza,https://github.com/expertiza/expertiza
fat-free-crm,https://github.com/fatfreecrm/fat_free_crm
forem,https://github.com/forem/forem
fromthepage,https://github.com/benwbrum/fromthepage
gitlabhq,https://github.com/gitlabhq/gitlabhq
graff_mags,https://github.com/dankleiman/graff_mags
growstuff,https://github.com/Growstuff/growstuff
hashrobot,https://github.com/rysmith/hashrobot
hitobito,https://github.com/hitobito/hitobito
hours,https://github.com/defactosoftware/hours
human-essentials,https://github.com/rubyforgood/human-essentials
inaturalist,https://github.com/inaturalist/inaturalist
kanban,https://github.com/seanomlor/kanban
lifeToRemind,https://github.com/eduqg/LifeToRemind
lobsters,https://github.com/lobsters/lobsters
loomio,https://github.com/loomio/loomio
mastodon,https://github.com/mastodon/mastodon
onebody,https://github.com/seven1m/onebody
openFarm,https://github.com/openfarmcc/OpenFarm
opencongress,https://github.com/sunlightlabs/opencongress
openproject,https://github.com/opf/openproject
otwarchive,https://github.com/otwcode/otwarchive
planningalerts-app,https://github.com/openaustralia/planningalerts
podiscover,https://github.com/enderahmetyurt/podiscover
postal,https://github.com/postalserver/postal
publify,https://github.com/publify/publify
quant,https://github.com/jdjkelly/quant
rapidFTR,https://github.com/rapidftr/RapidFTR
rentmybikes-rails,https://github.com/balanced/rentmybikes-rails
reservations,https://github.com/YaleSTC/reservations
retrospring,https://github.com/retrospring/retrospring
sanataro,https://github.com/kaznum/sanataro
scholarsphere,https://github.com/psu-libraries/scholarsphere
selfstarter,https://github.com/apigy/selfstarter
sharetribe,https://github.com/sharetribe/sharetribe
socify,https://github.com/scaffeinate/socify
somleng,https://github.com/somleng/somleng
splits-io,https://github.com/glacials/splits-io
spokenvote,https://github.com/Spokenvote/spokenvote
teambox,https://github.com/redbooth/teambox
theodinproject,https://github.com/TheOdinProject/theodinproject
tracks,https://github.com/TracksApp/tracks
trado,https://github.com/Jellyfishboy/trado
vglist,https://github.com/connorshea/vglist
websiteOne,https://github.com/AgileVentures/WebsiteOne
